X	Y
283	5322.227
284	5270.085
285	5328.920
286	5288.863
287	5238.750
288	5239.366
289	5177.652
290	5198.006
291	5150.393
292	5167.926
293	5222.633
294	5092.382
295	5073.854
296	5015.179
297	5038.922
298	4987.597
299	4950.739
300	4915.875
301	4883.893
302	4801.768
303	4820.103
304	4844.608
305	4783.860
306	4832.842
307	4659.504
308	4708.147
309	4700.604
310	4623.042
311	4596.544
312	4518.541
313	4422.101
314	4529.629
315	4483.683
316	4445.811
317	4421.601
318	4252.157
319	4322.256
320	4289.292
321	4297.332
322	4298.151
323	4277.067
324	4220.873
325	4273.546
326	4273.404
327	4223.146
328	4247.525
329	4267.905
330	4193.662
331	4203.005
332	4244.326
333	4152.217
334	4145.751
335	4095.667
336	4148.185
337	4131.863
338	4048.931
339	3991.585
340	4014.752
341	4087.927
342	4009.004
343	4002.727
344	3984.917
345	3958.665
346	4032.461
347	4049.220
348	3974.045
349	3923.589
350	3902.435
351	3852.697
352	3879.650
353	3793.089
354	3722.677
355	3804.092
356	3830.884
357	3814.447
358	3812.547
359	3696.867
360	3666.980
361	3634.758
362	3667.469
363	3660.283
364	3668.963
365	3681.233
366	3630.583
367	3620.939
368	3736.702
369	3661.542
370	3692.873
371	3704.497
372	3660.284
373	3656.258
374	3614.032
375	3625.556
376	3610.672
377	3513.006
378	3501.098
379	3486.583
380	3521.089
381	3465.709
382	3466.515
383	3386.899
384	3348.977
385	3402.889
386	3387.259
387	3391.153
388	3353.931
389	3317.127
390	3378.351
391	3397.624
392	3337.826
393	3331.628
394	3287.867
395	3324.403
396	3212.820
397	3342.907
398	3326.719
399	3333.547
400	3388.927
401	3329.382
402	3398.424
403	3384.945
404	3377.549
405	3270.902
406	3330.145
407	3286.824
408	3305.376
409	3224.072
410	3309.736
411	3351.378
412	3384.944
413	3380.855
414	3424.728
415	3478.333
416	3415.698
417	3442.124
418	3395.564
419	3372.339
420	3415.788
421	3372.202
422	3335.825
423	3327.358
424	3316.778
425	3299.792
426	3333.182
427	3372.114
428	3323.090
429	3342.352
430	3604.052
431	3548.331
432	3514.643
433	8.514
434	2931.883
435	2972.049
436	3065.311
437	2966.075
438	2859.313
439	3271.422
440	3195.455
441	3186.400
442	3090.661
443	3015.198
444	3022.872
445	3025.255
446	2944.105
447	2881.204
448	2842.146
449	2764.157
450	2729.518
451	2680.904
452	2632.882
453	2618.156
454	2602.438
455	2559.706
456	2532.290
457	2439.787
458	2439.894
459	2407.647
460	2412.483
461	2348.631
462	2314.019
463	2344.761
464	2293.049
465	2169.350
466	2239.653
467	2140.417
468	2176.876
469	2150.271
470	2130.541
471	2145.954
472	2095.880
473	2056.129
474	2104.763
475	2049.997
476	2012.899
477	1981.300
478	1951.392
479	1926.903
480	1909.526
481	1915.183
482	1908.369
483	1923.163
484	1943.023
485	1895.602
486	1880.155
487	1856.831
488	1856.248
489	1910.448
490	1898.514
491	1884.711
492	1864.509
493	1839.440
494	1803.184
495	1788.755
496	1814.951
497	1801.504
498	1807.784
499	1776.824
500	1797.409
501	1717.856
502	1767.521
503	1767.451
504	1714.078
505	1741.876
506	1744.421
507	1735.512
508	1720.591
509	1741.215
510	1693.321
511	1693.231
512	1688.991
513	1705.860
514	1651.514
515	1704.569
516	1710.210
517	1696.750
518	1677.060
519	1669.103
520	1672.375
521	1691.085
522	1682.373
523	1632.252
524	1663.696
525	1651.862
526	1652.651
527	1684.785
528	1682.276
529	1666.396
530	1710.100
531	1684.433
532	1638.296
533	1631.235
534	1641.100
535	1662.956
536	1659.087
537	1660.354
538	1665.529
539	1650.853
540	1648.683
541	1651.357
542	1654.586
543	1638.000
544	1670.849
545	1650.341
546	1661.927
547	1706.274
548	1666.003
549	1687.859
550	1642.613
551	1655.435
