Experiment_ID,Pressure_Level,Larva_ID,Prior_Duration,Stimulation_Duration,Time_Frame,Ratiometric,Registered,Stage,Type_Experiment
031022_CaI_Platynereis_M2_L1_E013,750,031022_CaI_Platynereis_M2_L1,30,60,0.2064,YES,YES,2dpf,Titration
031022_CaI_Platynereis_M2_L1_E014,250,031022_CaI_Platynereis_M2_L1,30,60,0.2064,YES,YES,2dpf,Titration
031022_CaI_Platynereis_M2_L1_E015,500,031022_CaI_Platynereis_M2_L1,30,60,0.2064,YES,YES,2dpf,Titration
031022_CaI_Platynereis_M2_L1_E016,1000,031022_CaI_Platynereis_M2_L1,30,60,0.2064,YES,YES,2dpf,Titration
041022_CaI_Platynereis_M1_L1_E004,100,041022_CaI_Platynereis_M1_L1,30,60,0.2064,YES,YES,2dpf,Titration
041022_CaI_Platynereis_M1_L1_E005,250,041022_CaI_Platynereis_M1_L1,30,60,0.2064,YES,YES,2dpf,Titration
041022_CaI_Platynereis_M1_L1_E006,750,041022_CaI_Platynereis_M1_L1,30,60,0.2064,YES,YES,2dpf,Titration
041022_CaI_Platynereis_M1_L1_E007,500,041022_CaI_Platynereis_M1_L1,30,60,0.2064,YES,YES,2dpf,Titration
041022_CaI_Platynereis_M1_L1_E008-2,1000,041022_CaI_Platynereis_M1_L1,30,60,0.2064,YES,YES,2dpf,Titration
041022_CaI_Platynereis_M1_L1_E009,1200,041022_CaI_Platynereis_M1_L1,30,60,0.1499,YES,YES,2dpf,Gradual
041022_CaI_Platynereis_M3_L1_E004,750,041022_CaI_Platynereis_M3_L1,30,60,0.2064,YES,YES,2dpf,Titration
041022_CaI_Platynereis_M3_L1_E005,500,041022_CaI_Platynereis_M3_L1,30,60,0.2064,YES,YES,2dpf,Titration
041022_CaI_Platynereis_M3_L1_E006,1000,041022_CaI_Platynereis_M3_L1,30,60,0.2605,YES,YES,2dpf,Titration
041022_CaI_Platynereis_M3_L1_E007,250,041022_CaI_Platynereis_M3_L1,30,60,0.2605,YES,YES,2dpf,Titration
