##Figure1-SourceData5. Swimming metrics of 1-day-old-larvae subjected to randomized step increases in pressure.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trial_ID,Time,Frame,RelTime,Pressure_Level,Genotype,StimulusDuration,Type_Experiment,Category_pressure,Basal_pressure,Bins,File_name,Avg_Speed,Avg_Y_displacement,Avg_Y_displacement_Up,Avg_Y_displacement_Down,Avg_Y_movement,Num_Tracks_Up,Num_Tracks_Down,Tortuosity,Straightness_X,Straightness_Y,PressVal,ParticleCount,PartPc,Corr_Avg_Speed,Corr_Avg_Y_displacement,Corr_Avg_Y_displacement_Up,Corr_Avg_Y_displacement_Down,Corr_Avg_Y_movement,Corr_Num_Tracks_Up,Corr_Num_Tracks_Down
131220_E001,29,29,19,988,WT,60,Step,988,0,NA,131220_E001T_1.avi_lane_128.res,2.5339129,-0.08868068,0.653375156,-0.620153103,-0.08868068,53,74,0.402208722,2.23E-06,0.049355724,NA,NA,NA,0.30537176,0.0938508,0.116877349,0.026352008,0.0938508,13.7,12.7
131220_E001,30,30,20,988,WT,60,Step,988,0,NA,131220_E001T_1.avi_lane_129.res,2.647167257,-0.094354789,0.677971365,-0.737959917,-0.094354789,60,72,0.431399238,0.011221906,0.033036895,NA,NA,NA,0.418626117,0.08817669,0.141473558,-0.091454807,0.08817669,20.7,10.7
131220_E001,31,31,21,988,WT,60,Step,988,0,NA,131220_E001T_1.avi_lane_130.res,2.3373054,-0.002637004,0.671908596,-0.568384927,-0.002637004,52,62,0.444175885,-0.013493316,0.075934211,NA,NA,NA,0.10876426,0.179894475,0.135410789,0.078120184,0.179894475,12.7,0.7
131220_E001,32,32,22,988,WT,60,Step,988,0,NA,131220_E001T_1.avi_lane_131.res,2.514338326,-0.161654926,0.705484079,-0.823445928,-0.161654926,54,71,0.462822978,-0.04270128,0.014441443,NA,NA,NA,0.285797186,0.020876553,0.168986271,-0.176940817,0.020876553,14.7,9.7
131220_E001,33,33,23,988,WT,60,Step,988,0,NA,131220_E001T_1.avi_lane_132.res,2.442305749,-0.182541545,0.622094818,-0.830430565,-0.182541545,62,77,0.455624037,-0.055253882,0.011002565,NA,NA,NA,0.213764609,-1.01E-05,0.085597011,-0.183925454,-1.01E-05,22.7,15.7
131220_E001,34,34,24,988,WT,60,Step,988,0,NA,131220_E001T_1.avi_lane_133.res,2.429599111,-0.188155649,0.635548235,-0.730594791,-0.188155649,54,82,0.425766696,-0.029405291,-0.02766021,NA,NA,NA,0.201057971,-0.00562417,0.099050427,-0.084089681,-0.00562417,14.7,20.7
131220_E001,35,35,25,988,WT,60,Step,988,0,NA,131220_E001T_1.avi_lane_134.res,2.306062486,-0.177563981,0.539856953,-0.682996377,-0.177563981,54,77,0.418730663,-0.042875342,0.009426513,NA,NA,NA,0.077521346,0.004967498,0.003359146,-0.036491266,0.004967498,14.7,15.7
131220_E001,36,36,26,988,WT,60,Step,988,0,NA,131220_E001T_1.avi_lane_135.res,2.505188149,-0.210256765,0.704503779,-0.71992486,-0.210256765,41,74,0.427590476,-0.022088002,0.0113474,NA,NA,NA,0.276647009,-0.027725286,0.168005972,-0.073419749,-0.027725286,1.7,12.7
131220_E001,37,37,27,988,WT,60,Step,988,0,NA,131220_E001T_1.avi_lane_136.res,2.450127571,-0.170646024,0.644549368,-0.799907172,-0.170646024,60,78,0.441821141,-0.046628435,0.011245198,NA,NA,NA,0.221586431,0.011885455,0.10805156,-0.153402061,0.011885455,20.7,16.7
131220_E001,38,38,28,988,WT,60,Step,988,0,NA,131220_E001T_1.avi_lane_137.res,2.506151128,-0.159654199,0.648965785,-0.687667853,-0.159654199,54,83,0.429283597,-0.003929649,0.038153167,NA,NA,NA,0.277609988,0.022877281,0.112467977,-0.041162742,0.022877281,14.7,21.7
131220_E001,39,39,29,988,WT,60,Step,988,0,NA,131220_E001T_1.avi_lane_138.res,2.370550536,-0.18815368,0.628065529,-0.664887565,-0.18815368,50,86,0.448734944,-0.037851178,0.00858533,NA,NA,NA,0.142009396,-0.005622201,0.091567722,-0.018382454,-0.005622201,10.7,24.7
131220_E001,40,40,30,988,WT,60,Step,988,0,NA,131220_E001T_1.avi_lane_139.res,2.557790782,-0.162780349,0.870624242,-0.705955995,-0.162780349,40,77,0.423409826,-0.022626887,0.035218865,NA,NA,NA,0.329249642,0.01975113,0.334126435,-0.059450884,0.01975113,0.7,15.7
131220_E001,41,41,31,988,WT,60,Step,988,0,NA,131220_E001T_1.avi_lane_140.res,2.226259614,0.010449817,0.700485506,-0.595786852,0.010449817,58,66,0.424122216,-0.014561296,0.088324199,NA,NA,NA,-0.002281526,0.192981296,0.163987698,0.050718259,0.192981296,18.7,4.7
131220_E001,42,42,32,988,WT,60,Step,988,0,NA,131220_E001T_1.avi_lane_141.res,2.49994394,-0.030089969,0.729703485,-0.684356555,-0.030089969,62,72,0.438781506,-0.007592406,0.084240966,NA,NA,NA,0.2714028,0.15244151,0.193205677,-0.037851444,0.15244151,22.7,10.7
131220_E001,43,43,33,988,WT,60,Step,988,0,NA,131220_E001T_1.avi_lane_142.res,2.431668485,-0.16148842,0.571002238,-0.733433181,-0.16148842,57,73,0.449633455,-0.021797725,0.031481985,NA,NA,NA,0.203127345,0.021043059,0.034504431,-0.086928071,0.021043059,17.7,11.7
131220_E001,44,44,34,988,WT,60,Step,988,0,NA,131220_E001T_1.avi_lane_143.res,2.340340778,-0.148999568,0.655971585,-0.802270348,-0.148999568,55,68,0.467280943,-0.034075281,0.031733373,NA,NA,NA,0.111799638,0.033531911,0.119473778,-0.155765237,0.033531911,15.7,6.7
131220_E001,45,45,35,988,WT,60,Step,988,0,NA,131220_E001T_1.avi_lane_144.res,2.49228226,-0.159950508,0.637837697,-0.779286089,-0.159950508,59,76,0.449643511,0.015933602,0.023701942,NA,NA,NA,0.26374112,0.022580971,0.101339889,-0.132780978,0.022580971,19.7,14.7
131220_E001,46,46,36,988,WT,60,Step,988,0,NA,131220_E001T_1.avi_lane_145.res,2.490162136,-0.126058106,0.606582158,-0.62036961,-0.126058106,56,83,0.432686925,-0.016661101,0.020841271,NA,NA,NA,0.261620996,0.056473373,0.07008435,0.026135501,0.056473373,16.7,21.7
131220_E001,47,47,37,988,WT,60,Step,988,0,NA,131220_E001T_1.avi_lane_146.res,2.51633378,-0.097830668,0.716114781,-0.638370792,-0.097830668,55,83,0.435353962,-0.004916968,0.044831448,NA,NA,NA,0.28779264,0.084700812,0.179616973,0.008134319,0.084700812,15.7,21.7
131220_E001,48,48,38,988,WT,60,Step,988,0,NA,131220_E001T_1.avi_lane_147.res,2.389684732,-0.150147539,0.634203142,-0.662256989,-0.150147539,54,83,0.41794028,-0.038882164,0.007680781,NA,NA,NA,0.161143592,0.03238394,0.097705335,-0.015751878,0.03238394,14.7,21.7
131220_E001,49,49,39,988,WT,60,Step,988,0,NA,131220_E001T_1.avi_lane_148.res,2.656265438,-0.255141372,0.646373525,-0.747829745,-0.255141372,47,86,0.413834996,0.003520167,-0.005981413,NA,NA,NA,0.427724299,-0.072609892,0.109875718,-0.101324635,-0.072609892,7.7,24.7
131220_E001,50,50,40,988,WT,60,Step,988,0,NA,131220_E001T_1.avi_lane_149.res,2.464980363,-0.121235734,0.545334318,-0.738061752,-0.121235734,62,67,0.43717809,0.020479095,0.044023123,NA,NA,NA,0.236439223,0.061295745,0.008836511,-0.091556642,0.061295745,22.7,5.7
131220_E001,51,51,41,988,WT,60,Step,988,0,NA,131220_E001T_1.avi_lane_150.res,2.481076921,-0.236206521,0.627491581,-0.82571475,-0.236206521,43,63,0.461779318,-0.038618837,0.026436597,NA,NA,NA,0.252535781,-0.053675042,0.090993774,-0.179209639,-0.053675042,3.7,1.7
131220_E001,52,52,42,988,WT,60,Step,988,0,NA,131220_E001T_1.avi_lane_151.res,2.364577078,-0.173820873,0.633738143,-0.660839438,-0.173820873,42,70,0.40375068,-0.060351545,0.02919221,NA,NA,NA,0.136035938,0.008710606,0.097240335,-0.014334327,0.008710606,2.7,8.7
131220_E001,53,53,43,988,WT,60,Step,988,0,NA,131220_E001T_1.avi_lane_152.res,2.214123376,-0.114657906,0.617623477,-0.651664254,-0.114657906,44,60,0.448767269,0.001022523,0.042685149,NA,NA,NA,-0.014417764,0.067873573,0.08112567,-0.005159143,0.067873573,4.7,-1.3
131220_E001,54,54,44,988,WT,60,Step,988,0,NA,131220_E001T_1.avi_lane_153.res,2.520443236,-0.13399603,0.512948798,-0.687180738,-0.13399603,59,69,0.402836772,0.01693625,0.032557772,NA,NA,NA,0.291902096,0.048535449,-0.02354901,-0.040675627,0.048535449,19.7,7.7
131220_E001,55,55,45,988,WT,60,Step,988,0,NA,131220_E001T_1.avi_lane_154.res,2.317501927,-0.149859026,0.555491001,-0.701872091,-0.149859026,54,69,0.443327068,-0.024085525,0.029661879,NA,NA,NA,0.088960787,0.032672453,0.018993193,-0.05536698,0.032672453,14.7,7.7
131220_E001,56,56,46,988,WT,60,Step,988,0,NA,131220_E001T_1.avi_lane_155.res,2.445389509,-0.145629986,0.65469493,-0.812739846,-0.145629986,59,71,0.45947861,-0.016064514,0.036656679,NA,NA,NA,0.216848369,0.036901493,0.118197122,-0.166234735,0.036901493,19.7,9.7
131220_E001,57,57,47,988,WT,60,Step,988,0,NA,131220_E001T_1.avi_lane_156.res,2.607936669,-0.198283482,0.573699857,-0.774464516,-0.198283482,48,65,0.423400902,-0.01539777,-0.003171062,NA,NA,NA,0.379395529,-0.015752003,0.037202049,-0.127959405,-0.015752003,8.7,3.7
131220_E001,58,58,48,988,WT,60,Step,988,0,NA,131220_E001T_1.avi_lane_157.res,2.402038757,-0.126686255,0.650327302,-0.744563143,-0.126686255,45,57,0.422307954,0.023709823,0.042127099,NA,NA,NA,0.173497618,0.055845224,0.113829495,-0.098058032,0.055845224,5.7,-4.3
131220_E001,59,59,49,988,WT,60,Step,988,0,NA,131220_E001T_1.avi_lane_158.res,2.467765772,-0.290065279,0.568720786,-0.913973663,-0.290065279,48,67,0.440117058,-0.019685314,-0.013342166,NA,NA,NA,0.239224632,-0.1075338,0.032222978,-0.267468552,-0.1075338,8.7,5.7
131220_E001,60,60,50,988,WT,60,Step,988,0,NA,131220_E001T_1.avi_lane_159.res,2.564123569,-0.20395839,0.586067297,-0.596552822,-0.20395839,39,79,0.410188989,-0.038208052,0.006649748,NA,NA,NA,0.335582429,-0.02142691,0.049569489,0.049952289,-0.02142691,-0.3,17.7
131220_E001,61,61,51,988,WT,60,Step,988,0,NA,131220_E001T_1.avi_lane_160.res,2.449057943,-0.202752825,0.56801064,-0.777559476,-0.202752825,44,59,0.425485172,-0.009633041,0.039045701,NA,NA,NA,0.220516803,-0.020221345,0.031512833,-0.131054366,-0.020221345,4.7,-2.3
131220_E001,62,62,52,988,WT,60,Step,988,0,NA,131220_E001T_1.avi_lane_161.res,2.667058678,-0.327832466,0.549042576,-0.853957492,-0.327832466,39,65,0.411697526,0.018058966,-0.006352268,NA,NA,NA,0.438517538,-0.145300987,0.012544769,-0.207452381,-0.145300987,-0.3,3.7
131220_E001,63,63,53,988,WT,60,Step,988,0,NA,131220_E001T_1.avi_lane_162.res,2.424436994,-0.154897038,0.508266316,-0.715255051,-0.154897038,53,63,0.394648771,0.005665585,0.024509495,NA,NA,NA,0.195895854,0.027634441,-0.028231491,-0.06874994,0.027634441,13.7,1.7
131220_E001,64,64,54,988,WT,60,Step,988,0,NA,131220_E001T_1.avi_lane_163.res,2.427325372,-0.210309833,0.55364524,-0.722661184,-0.210309833,46,69,0.398989917,0.037213359,0.02738768,NA,NA,NA,0.198784233,-0.027778354,0.017147433,-0.076156073,-0.027778354,6.7,7.7
131220_E001,65,65,55,988,WT,60,Step,988,0,NA,131220_E001T_1.avi_lane_164.res,2.510899136,-0.231983311,0.557742903,-0.676012019,-0.231983311,43,77,0.432287874,-0.006149141,0.017773375,NA,NA,NA,0.282357996,-0.049451832,0.021245095,-0.029506908,-0.049451832,3.7,15.7
131220_E001,66,66,56,988,WT,60,Step,988,0,NA,131220_E001T_1.avi_lane_165.res,2.493117133,-0.20203047,0.600937638,-0.845005491,-0.20203047,55,69,0.452764179,0.007045949,0.005348186,NA,NA,NA,0.264575994,-0.019498991,0.06443983,-0.19850038,-0.019498991,15.7,7.7
131220_E001,67,67,57,988,WT,60,Step,988,0,NA,131220_E001T_1.avi_lane_166.res,2.210198395,-0.066407075,0.574566356,-0.592571513,-0.066407075,59,72,0.43652118,0.00456497,0.038488377,NA,NA,NA,-0.018342745,0.116124404,0.038068549,0.053933598,0.116124404,19.7,10.7
131220_E001,68,68,58,988,WT,60,Step,988,0,NA,131220_E001T_1.avi_lane_167.res,2.429039715,-0.126478715,0.652810304,-0.643854981,-0.126478715,41,62,0.466460255,-0.020316601,0.032853797,NA,NA,NA,0.200498575,0.056052764,0.116312497,0.00265013,0.056052764,1.7,0.7
131220_E001,69,69,59,988,WT,60,Step,988,0,NA,131220_E001T_1.avi_lane_168.res,2.307812116,-0.209313458,0.520267924,-0.682555436,-0.209313458,48,74,0.423732642,-0.00940408,-0.008343801,NA,NA,NA,0.079270976,-0.026781979,-0.016229884,-0.036050325,-0.026781979,8.7,12.7
