Trial_ID,Larva_ID,Pressure_Level,Type_Stimulus,Prior,Duration_Stimulus,Post,Transducer_factor,State,Plasmid,Cell_labelled,Genotype,Frame_rate,Bin_size,Theta_range,Cell_border_start,
060222_M1_L2_E004,060222_M1_L2,988,Pressure,30,60,30,2,positive,pLB316,Ser-h-r,WT,200,200,30-65,1-25;35-62;75-102;124-156;173-208;226-255;277-302;322-362;380-416;432-461;482-508;533-563,
060222_M1_L2_E005,060222_M1_L2,0,Pressure,30,60,30,0.125,positive,pLB316,Ser-h-r,WT,200,200,30-65,1-25;35-62;75-102;124-156;173-208;226-255;277-302;322-362;380-416;432-461;482-508;533-563,
060222_M1_L3_E001,060222_M1_L3,85,Pressure,30,60,30,0.25,positive,pLB316,"Ser-h-r,ser-tr",WT,200,200,30-70,17-55;67-93;108-128;139-167;180-205;224-249;312-334;401-423;460-493,
060222_M1_L3_E002-2,060222_M1_L3,988,Pressure,30,60,30,2,positive,pLB316,"Ser-h-r,ser-tr",WT,200,200,30-70,17-55;67-93;108-128;139-167;180-205;224-249;312-334;401-423;460-493,
060222_M1_L3_E003,060222_M1_L3,556,Pressure,30,60,30,2,positive,pLB316,"Ser-h-r,ser-tr",WT,200,200,30-70,17-55;67-93;108-128;139-167;180-205;224-249;312-334;401-423;460-493,
060222_M1_L3_E004,060222_M1_L3,0,Pressure,30,60,30,0.125,positive,pLB316,"Ser-h-r,ser-tr",WT,200,200,30-70,17-55;67-93;108-128;139-167;180-205;224-249;312-334;401-423;460-493,
060222_M1_L3_E005,060222_M1_L3,237.5,Pressure,30,60,30,0.625,positive,pLB316,"Ser-h-r,ser-tr",WT,200,200,30-70,17-55;67-93;108-128;139-167;180-205;224-249;312-334;401-423;460-493,
090222_M1_L1_E001,090222_M1_L1,0,Pressure,30,60,30,0.125,positive,pLB316,"Ser-h-r,ser-tr",WT,200,200,18-60,2-33;52-81;95-120;193-213;237-269;307-341;491-507;528-552,
090222_M1_L1_E002,090222_M1_L1,556,Pressure,30,60,30,2,positive,pLB316,"Ser-h-r,ser-tr",WT,200,200,18-60,2-33;52-81;95-120;193-213;237-269;307-341;491-507;528-552,
090222_M1_L1_E003,090222_M1_L1,85,Pressure,30,60,30,0.25,positive,pLB316,"Ser-h-r,ser-tr",WT,200,200,18-60,2-33;52-81;95-120;193-213;237-269;307-341;491-507;528-552,
090222_M1_L1_E004,090222_M1_L1,237.5,Pressure,30,60,30,0.625,positive,pLB316,"Ser-h-r,ser-tr",WT,200,200,18-60,2-33;52-81;95-120;193-213;237-269;307-341;491-507;528-552,
090222_M1_L1_E005,090222_M1_L1,988,Pressure,30,60,30,2,positive,pLB316,"Ser-h-r,ser-tr",WT,200,200,18-60,2-33;52-81;95-120;193-213;237-269;307-341;491-507;528-552,
130222_M1_L1_E001,130222_M1_L1,0,Pressure,30,60,30,0.125,positive,pLB316,Ser-h-r/ser-tr,WT,200,200,24-60,1-24;42-62;86-123;192-210;226-257;270-306;317-348;362-395;412-444;460-490;509-542,
130222_M1_L1_E002,130222_M1_L1,237.5,Pressure,30,60,30,0.625,positive,pLB316,Ser-h-r/ser-tr,WT,200,200,24-60,1-24;42-62;86-123;192-210;226-257;270-306;317-348;362-395;412-444;460-490;509-542,
130222_M1_L1_E003,130222_M1_L1,556,Pressure,30,60,30,2,positive,pLB316,Ser-h-r/ser-tr,WT,200,200,24-60,1-24;42-62;86-123;192-210;226-257;270-306;317-348;362-395;412-444;460-490;509-542,
130222_M1_L1_E004,130222_M1_L1,988,Pressure,30,60,30,2,positive,pLB316,Ser-h-r/ser-tr,WT,200,200,24-60,1-24;42-62;86-123;192-210;226-257;270-306;317-348;362-395;412-444;460-490;509-542,
130222_M1_L1_E005,130222_M1_L1,85,Pressure,30,60,30,0.25,positive,pLB316,Ser-h-r/ser-tr,WT,200,200,24-60,1-24;42-62;86-123;192-210;226-257;270-306;317-348;362-395;412-444;460-490;509-542,
130222_M1_L3_E001,130222_M1_L3,237.5,Pressure,30,60,30,0.625,positive,pLB316,Ser-h/trunk_ser,WT,200,200,17-60,1-31;41-80;91-121;136-171;184-204;228-253;276-303;318-347;362-389;418-442;452-491;510-547,
130222_M1_L3_E002,130222_M1_L3,556,Pressure,30,60,30,2,positive,pLB316,Ser-h/trunk_ser,WT,200,200,17-60,1-31;41-80;91-121;136-171;184-204;228-253;276-303;318-347;362-389;418-442;452-491;510-547,
130222_M1_L3_E003,130222_M1_L3,988,Pressure,30,60,30,2,positive,pLB316,Ser-h/trunk_ser,WT,200,200,17-60,1-31;41-80;91-121;136-171;184-204;228-253;276-303;318-347;362-389;418-442;452-491;510-547,
130222_M1_L3_E004,130222_M1_L3,0,Pressure,30,60,30,0.125,positive,pLB316,Ser-h/trunk_ser,WT,200,200,17-60,1-31;41-80;91-121;136-171;184-204;228-253;276-303;318-347;362-389;418-442;452-491;510-547,
130222_M1_L3_E005,130222_M1_L3,85,Pressure,30,60,30,0.25,positive,pLB316,Ser-h/trunk_ser,WT,200,200,17-60,1-31;41-80;91-121;136-171;184-204;228-253;276-303;318-347;362-389;418-442;452-491;510-547,
160222_M1_L2_E001,160222_M1_L2,988,Pressure,30,60,30,2,positive,pLB316,Ser-h/ser-tr,WT,200,200,20-60,1-25;35-68;86-118;131-163;178-215;228-258;316-349;372-403;423-450;508-539,
160222_M1_L2_E002,160222_M1_L2,85,Pressure,30,60,30,0.25,positive,pLB316,Ser-h/ser-tr,WT,200,200,20-60,1-25;35-68;86-118;131-163;178-215;228-258;316-349;372-403;423-450;508-539,
160222_M1_L2_E003,160222_M1_L2,556,Pressure,30,60,30,2,positive,pLB316,Ser-h/ser-tr,WT,200,200,20-60,1-25;35-68;86-118;131-163;178-215;228-258;316-349;372-403;423-450;508-539,
160222_M1_L2_E004,160222_M1_L2,0,Pressure,30,60,30,0.125,positive,pLB316,Ser-h/ser-tr,WT,200,200,20-60,1-25;35-68;86-118;131-163;178-215;228-258;316-349;372-403;423-450;508-539,
160222_M1_L2_E005,160222_M1_L2,237.5,Pressure,30,60,30,0.625,positive,pLB316,Ser-h/ser-tr,WT,200,200,20-60,1-25;35-68;86-118;131-163;178-215;228-258;316-349;372-403;423-450;508-539,
160222_M1_L3_E001,160222_M1_L3,988,Pressure,30,60,30,2,positive,pLB316,Ser-h/ser-tr,WT,200,200,30-60,49-77;97-122;143-173;192-224;237-262;286-314;332-360;376-404;432-456;482-507;521-551,
160222_M1_L3_E002,160222_M1_L3,556,Pressure,30,60,30,2,positive,pLB316,Ser-h/ser-tr,WT,200,200,30-60,49-77;97-122;143-173;192-224;237-262;286-314;332-360;376-404;432-456;482-507;521-551,
160222_M1_L3_E003,160222_M1_L3,0,Pressure,30,60,30,0.125,positive,pLB316,Ser-h/ser-tr,WT,200,200,30-60,49-77;97-122;143-173;192-224;237-262;286-314;332-360;376-404;432-456;482-507;521-551,
160222_M1_L3_E004,160222_M1_L3,85,Pressure,30,60,30,0.25,positive,pLB316,Ser-h/ser-tr,WT,200,200,30-60,49-77;97-122;143-173;192-224;237-262;286-314;332-360;376-404;432-456;482-507;521-551,
160222_M1_L3_E005,160222_M1_L3,237.5,Pressure,30,60,30,0.625,positive,pLB316,Ser-h/ser-tr,WT,200,200,30-60,49-77;97-122;143-173;192-224;237-262;286-314;332-360;376-404;432-456;482-507;521-551,
270222_M1_L3_E001,270222_M1_L3,85,Pressure,30,60,30,0.25,positive,pLB316,Ser-h/ser-tr,WT,200,200,24-60,6-37;58-81;100-130;143-175;197-231;286-316;336-363;374-402;411-433;516-545,
270222_M1_L3_E002,270222_M1_L3,237.5,Pressure,30,60,30,0.625,positive,pLB316,Ser-h/ser-tr,WT,200,200,24-60,6-37;58-81;100-130;143-175;197-231;286-316;336-363;374-402;411-433;516-545,
