Trial_ID,Batch_ID,Stimulus_Level,Type_Stimulus,Prior_Duration,Stimulus_Duration,Post_Duration,Transducer_factor,Basal_pressure,Genotype,Category_stimulus,Type_Experiment,Bin_size,Frame_rate,Pxmm,Particles_Counted,Fraction_increase
011020_E001T_11,011020_B001,12.5,Pressure,10,60,60,0.125,0,WT,12.5,Step,10,10,742.667-80,YES,1.25
011020_E001T_12,011020_B001,137.5,Pressure,10,60,60,0.625,0,WT,137.5,Step,10,10,742.667-80,YES,13.75
011020_E001T_17,011020_B001,3.125,Pressure,10,60,60,0.125,0,WT,3.125,Step,10,10,742.667-80,YES,0.3125
011020_E001T_18-2,011020_B001,65,Pressure,10,60,60,0.25,0,WT,65,Step,10,10,742.667-80,YES,6.5
011020_E001T_19,011020_B001,237.5,Pressure,10,60,60,0.625,0,WT,237.5,Step,10,10,742.667-80,YES,23.75
011020_E001T_20,011020_B001,187.5,Pressure,10,60,60,0.625,0,WT,187.5,Step,10,10,742.667-80,YES,18.75
021020_E001T_1-2,021020_B001,3.125,Pressure,10,60,60,0.125,0,WT,3.125,Step,10,10,742.667-80,YES,0.3125
021020_E001T_3-2,021020_B001,42.5,Pressure,10,60,60,0.125,0,WT,42.5,Step,10,10,742.667-80,YES,4.25
021020_E001T_5,021020_B001,65,Pressure,10,60,60,0.25,0,WT,65,Step,10,10,742.667-80,YES,6.5
021020_E001T_7,021020_B001,187.5,Pressure,10,60,60,0.625,0,WT,187.5,Step,10,10,742.667-80,YES,18.75
021020_E001T_9,021020_B001,85,Pressure,10,60,60,0.25,0,WT,85,Step,10,10,742.667-80,YES,8.5
021020_E001T_10,021020_B001,32.5,Pressure,10,60,60,0.125,0,WT,32.5,Step,10,10,742.667-80,YES,3.25
021020_E001T_12,021020_B001,22.5,Pressure,10,60,60,0.125,0,WT,22.5,Step,10,10,742.667-80,YES,2.25
021020_E001T_17,021020_B001,12.5,Pressure,10,60,60,0.125,0,WT,12.5,Step,10,10,742.667-80,YES,1.25
021020_E001T_19,021020_B001,137.5,Pressure,10,60,60,0.625,0,WT,137.5,Step,10,10,742.667-80,YES,13.75
021020_E001T_20,021020_B001,237.5,Pressure,10,60,60,0.625,0,WT,237.5,Step,10,10,742.667-80,YES,23.75
031020_E001T_4,031020_B001,3.125,Pressure,10,60,60,0.125,0,WT,3.125,Step,10,10,742.667-80,YES,0.3125
031020_E001T_5,031020_B001,32.5,Pressure,10,60,60,0.125,0,WT,32.5,Step,10,10,742.667-80,YES,3.25
031020_E001T_6,031020_B001,65,Pressure,10,60,60,0.25,0,WT,65,Step,10,10,742.667-80,YES,6.5
031020_E001T_8,031020_B001,237.5,Pressure,10,60,60,0.625,0,WT,237.5,Step,10,10,742.667-80,YES,23.75
031020_E001T_9,031020_B001,85,Pressure,10,60,60,0.25,0,WT,85,Step,10,10,742.667-80,YES,8.5
031020_E001T_10,031020_B001,42.5,Pressure,10,60,60,0.125,0,WT,42.5,Step,10,10,742.667-80,YES,4.25
031020_E001T_14,031020_B001,12.5,Pressure,10,60,60,0.125,0,WT,12.5,Step,10,10,742.667-80,YES,1.25
031020_E001T_16,031020_B001,187.5,Pressure,10,60,60,0.625,0,WT,187.5,Step,10,10,742.667-80,YES,18.75
031020_E001T_18,031020_B001,22.5,Pressure,10,60,60,0.125,0,WT,22.5,Step,10,10,742.667-80,YES,2.25
031020_E001T_19,031020_B001,137.5,Pressure,10,60,60,0.625,0,WT,137.5,Step,10,10,742.667-80,YES,13.75
081020_E001T_2,081020_B001,22.5,Pressure,10,60,60,0.125,0,WT,22.5,Step,10,10,742.667-80,YES,2.25
081020_E001T_3,081020_B001,137.5,Pressure,10,60,60,0.625,0,WT,137.5,Step,10,10,742.667-80,YES,13.75
081020_E001T_4,081020_B001,65,Pressure,10,60,60,0.25,0,WT,65,Step,10,10,742.667-80,YES,6.5
081020_E001T_5-2,081020_B001,3.125,Pressure,10,60,60,0.125,0,WT,3.125,Step,10,10,742.667-80,YES,0.3125
081020_E001T_10,081020_B001,187.5,Pressure,10,60,60,0.625,0,WT,187.5,Step,10,10,742.667-80,YES,18.75
081020_E001T_11-2,081020_B001,12.5,Pressure,10,60,60,0.125,0,WT,12.5,Step,10,10,742.667-80,YES,1.25
081020_E001T_13-3,081020_B001,32.5,Pressure,10,60,60,0.125,0,WT,32.5,Step,10,10,742.667-80,YES,3.25
081020_E001T_15,081020_B001,42.5,Pressure,10,60,60,0.125,0,WT,42.5,Step,10,10,742.667-80,YES,4.25
081020_E001T_16,081020_B001,237.5,Pressure,10,60,60,0.625,0,WT,237.5,Step,10,10,742.667-80,YES,23.75
081020_E001T_17,081020_B001,85,Pressure,10,60,60,0.25,0,WT,85,Step,10,10,742.667-80,YES,8.5
161020_E001T_2,161020_B001,237.5,Pressure,10,60,60,0.625,0,WT,237.5,Step,10,10,742.667-80,YES,23.75
161020_E001T_4,161020_B001,65,Pressure,10,60,60,0.25,0,WT,65,Step,10,10,742.667-80,YES,6.5
161020_E001T_6-2,161020_B001,42.5,Pressure,10,60,60,0.125,0,WT,42.5,Step,10,10,742.667-80,YES,4.25
161020_E001T_7,161020_B001,85,Pressure,10,60,60,0.25,0,WT,85,Step,10,10,742.667-80,YES,8.5
161020_E001T_10,161020_B001,32.5,Pressure,10,60,60,0.125,0,WT,32.5,Step,10,10,742.667-80,YES,3.25
161020_E001T_13,161020_B001,22.5,Pressure,10,60,60,0.125,0,WT,22.5,Step,10,10,742.667-80,YES,2.25
161020_E001T_14,161020_B001,3.125,Pressure,10,60,60,0.125,0,WT,3.125,Step,10,10,742.667-80,YES,0.3125
161020_E001T_17,161020_B001,187.5,Pressure,10,60,60,0.625,0,WT,187.5,Step,10,10,742.667-80,YES,18.75
161020_E001T_19,161020_B001,137.5,Pressure,10,60,60,0.625,0,WT,137.5,Step,10,10,742.667-80,YES,13.75
161020_E001T_20,161020_B001,12.5,Pressure,10,60,60,0.125,0,WT,12.5,Step,10,10,742.667-80,YES,1.25
