"Time","variable","value","SEDisp","Pressure_Level","Genotype","Basal_pressure","Category_pressure","Press","SEPress"
107,"132.5_WT_100",-0.0896504721171167,0.0457176458825666,"132.5","WT","100","32.5",99.3927083333333,0.255567349516501
108,"132.5_WT_100",-0.0943069122698249,0.0414648553689318,"132.5","WT","100","32.5",99.2677083333333,0.255991570227963
109,"132.5_WT_100",-0.0851477669508557,0.0340615045070641,"132.5","WT","100","32.5",99.1395833333333,0.230814388888681
110,"132.5_WT_100",-0.101798540686812,0.0499425919566004,"132.5","WT","100","32.5",99.0864583333333,0.233299616239505
111,"132.5_WT_100",-0.0749641296229553,0.0365781470922746,"132.5","WT","100","32.5",98.9802083333333,0.25145734085692
112,"132.5_WT_100",-0.0681343182608645,0.0354645187570477,"132.5","WT","100","32.5",99.3239583333333,0.34578548238234
113,"132.5_WT_100",-0.0487425133205689,0.0469938766165376,"132.5","WT","100","32.5",99.6479166666667,0.460004057198292
114,"132.5_WT_100",-0.0571073213368095,0.0511616641937023,"132.5","WT","100","32.5",98.6833333333333,1.22879518574372
115,"132.5_WT_100",-0.0815358896843991,0.0431429395162597,"132.5","WT","100","32.5",98.09375,2.00431730744501
116,"132.5_WT_100",-0.0521992256649533,0.048497168211653,"132.5","WT","100","32.5",98.06875,1.95533305742305
117,"132.5_WT_100",-0.0627703297283623,0.0499216198522441,"132.5","WT","100","32.5",97.6645833333333,2.22275142895704
118,"132.5_WT_100",-0.0638063263354027,0.0406991523523484,"132.5","WT","100","32.5",99.1677083333333,0.676172063053604
119,"132.5_WT_100",-0.0571201825916551,0.0380468119619019,"132.5","WT","100","32.5",98.8802083333333,0.857380893493536
120,"132.5_WT_100",-0.0532329266038099,0.0322166476830611,"132.5","WT","100","32.5",99.4447916666667,0.288630965423648
-9,"137.5_WT_0",0.0195857855290601,0.0228529690515513,"137.5","WT","0","137.5",-1.89270833333333,0.466365753522949
-8,"137.5_WT_0",0.0132904285170925,0.0171799823450471,"137.5","WT","0","137.5",-1.89375,0.457046014125249
-7,"137.5_WT_0",-0.000600135829763604,0.0137688776122781,"137.5","WT","0","137.5",-1.9,0.44723300539105
-6,"137.5_WT_0",-0.00200772668976488,0.0124636985761347,"137.5","WT","0","137.5",-1.88541666666667,0.451078953424145
-5,"137.5_WT_0",-0.0268258854908581,0.00847360411344338,"137.5","WT","0","137.5",-1.9125,0.445446190945413
-4,"137.5_WT_0",0.0179264977588852,0.0295773603420059,"137.5","WT","0","137.5",-1.89166666666667,0.455955003566994
-3,"137.5_WT_0",-0.0182768710575041,0.0108781339947698,"137.5","WT","0","137.5",-1.87291666666667,0.471170256478778
-2,"137.5_WT_0",-0.0134170529570836,0.00662080003767969,"137.5","WT","0","137.5",-1.878125,0.486374680530464
-1,"137.5_WT_0",0.0103249602199363,0.0201058127498419,"137.5","WT","0","137.5",-1.90729166666667,0.478204423323448
0,"137.5_WT_0",0.0274629975770796,0.0190532149560863,"137.5","WT","0","137.5",-1.88333333333333,0.459629441061251
1,"137.5_WT_0",-0.143646372642467,0.0161843344327836,"137.5","WT","0","137.5",125.192708333333,2.55242610368193
2,"137.5_WT_0",0.000826552490630995,0.015797424002616,"137.5","WT","0","137.5",138.294791666667,0.911426487538902
3,"137.5_WT_0",0.138448193956347,0.0373220790627328,"137.5","WT","0","137.5",137.454166666667,0.555100345189198
4,"137.5_WT_0",0.422297278043596,0.0595431311745329,"137.5","WT","0","137.5",137.770833333333,0.559339597731358
5,"137.5_WT_0",0.631398765417427,0.0908111054131449,"137.5","WT","0","137.5",137.469791666667,0.487794271048827
6,"137.5_WT_0",0.790705558277457,0.0863144662660634,"137.5","WT","0","137.5",137.24375,0.509223200796243
7,"137.5_WT_0",0.869423447162964,0.0694021048816209,"137.5","WT","0","137.5",137.042708333333,0.486203984183705
8,"137.5_WT_0",0.990874951991766,0.0625075357581469,"137.5","WT","0","137.5",137.211458333333,0.378798756946074
9,"137.5_WT_0",1.01965664188421,0.0873086509967434,"137.5","WT","0","137.5",137.564583333333,0.2651476511488
10,"137.5_WT_0",1.06990267822103,0.086686681737194,"137.5","WT","0","137.5",137.821875,0.486792243537279
11,"137.5_WT_0",1.06826727359298,0.0813511301659681,"137.5","WT","0","137.5",137.526041666667,0.467652070669416
12,"137.5_WT_0",1.15248595382027,0.0962922581568012,"137.5","WT","0","137.5",137.365625,0.49096767933621
13,"137.5_WT_0",1.09717687601131,0.109476580558796,"137.5","WT","0","137.5",137.183333333333,0.516383070689239
14,"137.5_WT_0",1.13793135686624,0.0961721775392563,"137.5","WT","0","137.5",137.016666666667,0.494123452298224
15,"137.5_WT_0",1.13890484947368,0.114933632542438,"137.5","WT","0","137.5",136.809375,0.438198846605816
16,"137.5_WT_0",1.16425643095336,0.113260128243582,"137.5","WT","0","137.5",136.744791666667,0.417099384681149
17,"137.5_WT_0",1.12623391201353,0.121596522983514,"137.5","WT","0","137.5",137.647916666667,0.83997128392136
18,"137.5_WT_0",1.1086454936358,0.124265308496633,"137.5","WT","0","137.5",137.520833333333,0.533255507830859
19,"137.5_WT_0",1.1113996703336,0.125881158538925,"137.5","WT","0","137.5",137.432291666667,0.432150453843268
20,"137.5_WT_0",1.08346913842405,0.104801508563942,"137.5","WT","0","137.5",137.264583333333,0.39877402727157
21,"137.5_WT_0",1.10012107114078,0.112047407831827,"137.5","WT","0","137.5",137.103125,0.397922802090571
22,"137.5_WT_0",1.05744641369137,0.11923886277599,"137.5","WT","0","137.5",136.888541666667,0.386195721644696
23,"137.5_WT_0",1.02133646814174,0.116338358389673,"137.5","WT","0","137.5",136.660416666667,0.3453655219474
24,"137.5_WT_0",1.08711886535719,0.110141779124938,"137.5","WT","0","137.5",136.486458333333,0.341900802652128
25,"137.5_WT_0",1.00289121801601,0.130941072399233,"137.5","WT","0","137.5",136.839583333333,0.182302083035731
26,"137.5_WT_0",0.894543867995018,0.0871690827440619,"137.5","WT","0","137.5",137.190625,0.450828110528895
27,"137.5_WT_0",0.943527919003505,0.0998430458358583,"137.5","WT","0","137.5",136.996875,0.432393938705402
28,"137.5_WT_0",0.926263129225298,0.0713125438523796,"137.5","WT","0","137.5",136.836458333333,0.38468962958613
29,"137.5_WT_0",0.903857684241914,0.0703018385034807,"137.5","WT","0","137.5",136.957291666667,0.35773099205075
30,"137.5_WT_0",0.871356941584185,0.0622339625581041,"137.5","WT","0","137.5",137.208333333333,0.618492598676859
31,"137.5_WT_0",0.840683545845865,0.0854166915795603,"137.5","WT","0","137.5",137.210416666667,0.464639383763848
32,"137.5_WT_0",0.844969279699236,0.115702340509981,"137.5","WT","0","137.5",137.189583333333,0.479612564269908
33,"137.5_WT_0",0.811798441636989,0.10847359202945,"137.5","WT","0","137.5",137.3125,0.27080829211158
34,"137.5_WT_0",0.802362629891808,0.107255938037708,"137.5","WT","0","137.5",137.152083333333,0.295241301675895
35,"137.5_WT_0",0.765336952498467,0.100311897238329,"137.5","WT","0","137.5",137.00625,0.320451782048485
36,"137.5_WT_0",0.790559176076249,0.101191787599394,"137.5","WT","0","137.5",136.779166666667,0.341237662577145
37,"137.5_WT_0",0.747631304856726,0.0925478899973531,"137.5","WT","0","137.5",136.584375,0.372890478596296
38,"137.5_WT_0",0.76752478737061,0.096194581316552,"137.5","WT","0","137.5",136.584375,0.392852675727676
39,"137.5_WT_0",0.72528397710916,0.100599039406747,"137.5","WT","0","137.5",137.347916666667,0.465735096044418
40,"137.5_WT_0",0.723035552623577,0.0798389736424829,"137.5","WT","0","137.5",137.221875,0.506044196851096
41,"137.5_WT_0",0.624800349832674,0.0967221804276756,"137.5","WT","0","137.5",137.21875,0.300773922169033
42,"137.5_WT_0",0.656103582102231,0.0762253005987211,"137.5","WT","0","137.5",137.455208333333,0.352118002484413
43,"137.5_WT_0",0.598755189715897,0.0883088624373472,"137.5","WT","0","137.5",137.29375,0.313014333681825
44,"137.5_WT_0",0.570165079066054,0.106438273325407,"137.5","WT","0","137.5",137.107291666667,0.277416974879672
45,"137.5_WT_0",0.571346967205837,0.0763875484531468,"137.5","WT","0","137.5",137.029166666667,0.357496600605434
46,"137.5_WT_0",0.572018389894761,0.0996582630921679,"137.5","WT","0","137.5",136.795833333333,0.324518874643677
47,"137.5_WT_0",0.550080971099897,0.0862728769255803,"137.5","WT","0","137.5",136.9125,0.29222602612913
48,"137.5_WT_0",0.494206206707151,0.0820136487334423,"137.5","WT","0","137.5",136.996875,0.472145112168332
49,"137.5_WT_0",0.486992124767829,0.0814326197201621,"137.5","WT","0","137.5",136.690625,0.453069920024005
50,"137.5_WT_0",0.524899187368111,0.0806637999156986,"137.5","WT","0","137.5",136.776041666667,0.34451855371542
51,"137.5_WT_0",0.499152642208291,0.101137003737999,"137.5","WT","0","137.5",137.794791666667,0.557769946633971
52,"137.5_WT_0",0.461714644330753,0.0943736520726775,"137.5","WT","0","137.5",137.64375,0.484076969244332
53,"137.5_WT_0",0.475729567701868,0.0871185903605362,"137.5","WT","0","137.5",137.414583333333,0.493898865568372
54,"137.5_WT_0",0.420468307357986,0.101449335587594,"137.5","WT","0","137.5",137.235416666667,0.413973719517783
55,"137.5_WT_0",0.384821859352025,0.11305341127321,"137.5","WT","0","137.5",137.06875,0.358813722321749
56,"137.5_WT_0",0.439576077172997,0.109820115960761,"137.5","WT","0","137.5",136.8125,0.332477743093846
57,"137.5_WT_0",0.417324449026593,0.0935753756725571,"137.5","WT","0","137.5",137.176041666667,0.370635773686395
58,"137.5_WT_0",0.355745558332795,0.105237996681686,"137.5","WT","0","137.5",136.251041666667,0.502528329770797
59,"137.5_WT_0",0.360470403456772,0.101566824017712,"137.5","WT","0","137.5",136.465625,0.197027883760562
60,"137.5_WT_0",0.284481193777728,0.0976515026755803,"137.5","WT","0","137.5",133.04375,3.34008292881391
61,"137.5_WT_0",0.356157616837831,0.0650598060198925,"137.5","WT","0","137.5",5.615625,1.33550177673402
62,"137.5_WT_0",0.210016529706639,0.104356989396282,"137.5","WT","0","137.5",-1.340625,0.433337089326671
63,"137.5_WT_0",0.20430327760167,0.102963794145806,"137.5","WT","0","137.5",-1.809375,0.461587641777449
64,"137.5_WT_0",0.156077420939289,0.102282267525728,"137.5","WT","0","137.5",-1.821875,0.44775736023636
65,"137.5_WT_0",0.103680839256873,0.0827294902530276,"137.5","WT","0","137.5",-1.79270833333333,0.463419927834236
66,"137.5_WT_0",0.0688397382595925,0.0862204033228831,"137.5","WT","0","137.5",-1.815625,0.464367826511066
67,"137.5_WT_0",-0.0278273426032965,0.0975236851834879,"137.5","WT","0","137.5",-1.81145833333333,0.476565061468526
68,"137.5_WT_0",-0.0872838569502235,0.0418207816591384,"137.5","WT","0","137.5",-1.82708333333333,0.454539817081518
69,"137.5_WT_0",-0.100751184675406,0.0909480774891918,"137.5","WT","0","137.5",-1.81666666666667,0.482499167925304
70,"137.5_WT_0",-0.149946350063157,0.080545938236729,"137.5","WT","0","137.5",-1.77083333333333,0.457744057739511
71,"137.5_WT_0",-0.173095621497185,0.087036285179658,"137.5","WT","0","137.5",-1.83020833333333,0.478995666951522
72,"137.5_WT_0",-0.182297279075059,0.0997016871182485,"137.5","WT","0","137.5",-1.83854166666667,0.461106666226903
73,"137.5_WT_0",-0.283054817830442,0.104136560916446,"137.5","WT","0","137.5",-1.82395833333333,0.444421928683143
74,"137.5_WT_0",-0.208016622858215,0.119243585318938,"137.5","WT","0","137.5",-1.825,0.481588084708637
75,"137.5_WT_0",-0.225004129960444,0.101609738225099,"137.5","WT","0","137.5",-1.83020833333333,0.456606595805769
76,"137.5_WT_0",-0.304586389961836,0.0922429115361799,"137.5","WT","0","137.5",-1.78541666666667,0.454166666666667
77,"137.5_WT_0",-0.313125822610231,0.114804465364105,"137.5","WT","0","137.5",-1.84479166666667,0.471566768351936
78,"137.5_WT_0",-0.282095498580679,0.100316423229484,"137.5","WT","0","137.5",-1.83958333333333,0.458408492890529
79,"137.5_WT_0",-0.294016800159055,0.0967014232981865,"137.5","WT","0","137.5",-1.8125,0.45762255492685
80,"137.5_WT_0",-0.324408456677168,0.108432569946343,"137.5","WT","0","137.5",-1.778125,0.467026925675121
81,"137.5_WT_0",-0.271952948652836,0.11813389330052,"137.5","WT","0","137.5",-1.82291666666667,0.473780873371036
82,"137.5_WT_0",-0.286676336327754,0.105377192519067,"137.5","WT","0","137.5",-1.8625,0.462541641331111
83,"137.5_WT_0",-0.265381995880123,0.120994842976383,"137.5","WT","0","137.5",-1.81354166666667,0.443676637128138
84,"137.5_WT_0",-0.314680998621837,0.112255531217062,"137.5","WT","0","137.5",-1.79895833333333,0.445632499547303
85,"137.5_WT_0",-0.35683982542994,0.108057246198257,"137.5","WT","0","137.5",-1.79791666666667,0.453066327619061
86,"137.5_WT_0",-0.313311019180847,0.115154153763274,"137.5","WT","0","137.5",-1.7875,0.468545673059794
87,"137.5_WT_0",-0.334549295263071,0.112030340270429,"137.5","WT","0","137.5",-1.809375,0.472796768024239
88,"137.5_WT_0",-0.345298584474481,0.093490501060322,"137.5","WT","0","137.5",-1.80729166666667,0.460662288367097
89,"137.5_WT_0",-0.350872400525824,0.10086698669129,"137.5","WT","0","137.5",-1.82083333333333,0.46180503341658
90,"137.5_WT_0",-0.342427866217495,0.0990782420376395,"137.5","WT","0","137.5",-1.79895833333333,0.460661110637925
91,"137.5_WT_0",-0.33994417080859,0.104710933008704,"137.5","WT","0","137.5",-1.84375,0.492059341780372
92,"137.5_WT_0",-0.337052136666864,0.0876940104393709,"137.5","WT","0","137.5",-1.79166666666667,0.473445808049583
93,"137.5_WT_0",-0.354738404675432,0.0995351920376989,"137.5","WT","0","137.5",-1.76979166666667,0.455898480452794
94,"137.5_WT_0",-0.359066265987739,0.108641684454754,"137.5","WT","0","137.5",-1.796875,0.455081384853608
95,"137.5_WT_0",-0.362363743956349,0.0849824651389604,"137.5","WT","0","137.5",-1.81354166666667,0.467270233755764
96,"137.5_WT_0",-0.353256447771721,0.0911663865391171,"137.5","WT","0","137.5",-1.7625,0.46409903288672
97,"137.5_WT_0",-0.331114676864277,0.130966995015246,"137.5","WT","0","137.5",-1.82916666666667,0.477633984438165
98,"137.5_WT_0",-0.352627556596854,0.128767803773119,"137.5","WT","0","137.5",-1.75416666666667,0.459085556962001
99,"137.5_WT_0",-0.319311795302419,0.0831147633950373,"137.5","WT","0","137.5",-1.74895833333333,0.469534644214946
100,"137.5_WT_0",-0.339841200712738,0.0816174733573499,"137.5","WT","0","137.5",-1.75208333333333,0.483894811263827
