"Trial_ID","Pressure_Level","Period","Genotype","countzero","Larva_ID"
"220921_M1_L2_E004","988","During_1","WT",1,"220921_M1_L2"
"220921_M1_L2_E004","988","During_1","WT",2,"220921_M1_L2"
"220921_M1_L2_E004","988","During_2","WT",3,"220921_M1_L2"
"220921_M1_L2_E004","988","During_2","WT",1,"220921_M1_L2"
"220921_M1_L2_E004","988","During_2","WT",1,"220921_M1_L2"
"220921_M1_L2_E004","988","During_2","WT",1,"220921_M1_L2"
"220921_M1_L2_E004","988","During_2","WT",1,"220921_M1_L2"
"220921_M1_L2_E004","988","During_2","WT",1,"220921_M1_L2"
"220921_M1_L2_E004","988","During_2","WT",2,"220921_M1_L2"
"220921_M1_L2_E004","988","During_2","WT",1,"220921_M1_L2"
"220921_M1_L2_E004","988","During_2","WT",5,"220921_M1_L2"
"220921_M1_L2_E005","3.125","After","WT",6,"220921_M1_L2"
"220921_M1_L2_E005","3.125","Before","WT",6,"220921_M1_L2"
"220921_M1_L2_E005","3.125","Before","WT",3,"220921_M1_L2"
"220921_M1_L2_E005","3.125","During_1","WT",4,"220921_M1_L2"
"220921_M1_L2_E005","3.125","During_1","WT",3,"220921_M1_L2"
"220921_M1_L2_E005","3.125","During_2","WT",1,"220921_M1_L2"
"220921_M1_L2_E005","3.125","During_2","WT",1,"220921_M1_L2"
"220921_M1_L2_E005","3.125","During_2","WT",4,"220921_M1_L2"
"220921_M1_L2_E005","3.125","During_2","WT",4,"220921_M1_L2"
"281021_M1_L1_E001","556","After","WT",1,"281021_M1_L1"
"281021_M1_L1_E001","556","Before","WT",1,"281021_M1_L1"
"281021_M1_L1_E001","556","During_1","WT",1,"281021_M1_L1"
"281021_M1_L1_E001","556","During_1","WT",1,"281021_M1_L1"
"281021_M1_L1_E002","85","After","WT",1,"281021_M1_L1"
"281021_M1_L1_E002","85","During_1","WT",1,"281021_M1_L1"
"281021_M1_L1_E002","85","During_2","WT",1,"281021_M1_L1"
"281021_M1_L1_E002","85","During_2","WT",1,"281021_M1_L1"
"281021_M1_L1_E003","988","After","WT",1,"281021_M1_L1"
"281021_M1_L1_E003","988","Before","WT",1,"281021_M1_L1"
"281021_M1_L1_E004","3.125","After","WT",2,"281021_M1_L1"
"281021_M1_L1_E005","237.5","During_1","WT",1,"281021_M1_L1"
"281021_M1_L1_E005","237.5","During_1","WT",2,"281021_M1_L1"
"281021_M1_L1_E005","237.5","During_1","WT",1,"281021_M1_L1"
"281021_M1_L1_E005","237.5","During_2","WT",2,"281021_M1_L1"
"281021_M1_L1_E005","237.5","During_2","WT",1,"281021_M1_L1"
"281021_M1_L1_E005","237.5","During_2","WT",1,"281021_M1_L1"
"281021_M1_L2_E004","85","Before","WT",3,"281021_M1_L2"
"281021_M1_L2_E004","85","During_1","WT",3,"281021_M1_L2"
"281021_M1_L2_E005","988","During_1","WT",1,"281021_M1_L2"
"281021_M1_L2_E005","988","During_1","WT",1,"281021_M1_L2"
"291021_M1_L1_E001","556","After","WT",5,"291021_M1_L1"
"291021_M1_L1_E001","556","After","WT",1,"291021_M1_L1"
"291021_M1_L1_E001","556","After","WT",1,"291021_M1_L1"
"291021_M1_L1_E001","556","After","WT",2,"291021_M1_L1"
"291021_M1_L1_E001","556","After","WT",1,"291021_M1_L1"
"291021_M1_L1_E001","556","After","WT",2,"291021_M1_L1"
"291021_M1_L1_E001","556","After","WT",3,"291021_M1_L1"
"291021_M1_L1_E001","556","After","WT",1,"291021_M1_L1"
"291021_M1_L1_E001","556","After","WT",3,"291021_M1_L1"
"291021_M1_L1_E001","556","Before","WT",3,"291021_M1_L1"
"291021_M1_L1_E001","556","Before","WT",1,"291021_M1_L1"
"291021_M1_L1_E001","556","Before","WT",2,"291021_M1_L1"
"291021_M1_L1_E001","556","Before","WT",1,"291021_M1_L1"
"291021_M1_L1_E001","556","Before","WT",2,"291021_M1_L1"
"291021_M1_L1_E001","556","Before","WT",4,"291021_M1_L1"
"291021_M1_L1_E001","556","Before","WT",2,"291021_M1_L1"
"291021_M1_L1_E001","556","Before","WT",1,"291021_M1_L1"
"291021_M1_L1_E001","556","Before","WT",2,"291021_M1_L1"
"291021_M1_L1_E001","556","Before","WT",1,"291021_M1_L1"
"291021_M1_L1_E001","556","During_1","WT",1,"291021_M1_L1"
"291021_M1_L1_E001","556","During_1","WT",4,"291021_M1_L1"
"291021_M1_L1_E001","556","During_1","WT",2,"291021_M1_L1"
"291021_M1_L1_E001","556","During_1","WT",2,"291021_M1_L1"
"291021_M1_L1_E001","556","During_1","WT",2,"291021_M1_L1"
"291021_M1_L1_E001","556","During_1","WT",1,"291021_M1_L1"
"291021_M1_L1_E001","556","During_1","WT",4,"291021_M1_L1"
"291021_M1_L1_E001","556","During_1","WT",3,"291021_M1_L1"
"291021_M1_L1_E001","556","During_1","WT",1,"291021_M1_L1"
"291021_M1_L1_E001","556","During_2","WT",3,"291021_M1_L1"
"291021_M1_L1_E001","556","During_2","WT",1,"291021_M1_L1"
"291021_M1_L1_E001","556","During_2","WT",2,"291021_M1_L1"
"291021_M1_L1_E001","556","During_2","WT",10,"291021_M1_L1"
"291021_M1_L1_E001","556","During_2","WT",1,"291021_M1_L1"
"291021_M1_L1_E002","85","After","WT",7,"291021_M1_L1"
"291021_M1_L1_E002","85","After","WT",1,"291021_M1_L1"
"291021_M1_L1_E002","85","After","WT",1,"291021_M1_L1"
"291021_M1_L1_E002","85","After","WT",1,"291021_M1_L1"
"291021_M1_L1_E002","85","After","WT",4,"291021_M1_L1"
"291021_M1_L1_E002","85","After","WT",2,"291021_M1_L1"
"291021_M1_L1_E002","85","After","WT",4,"291021_M1_L1"
"291021_M1_L1_E002","85","Before","WT",7,"291021_M1_L1"
"291021_M1_L1_E002","85","Before","WT",4,"291021_M1_L1"
"291021_M1_L1_E002","85","Before","WT",1,"291021_M1_L1"
"291021_M1_L1_E002","85","Before","WT",2,"291021_M1_L1"
"291021_M1_L1_E002","85","Before","WT",2,"291021_M1_L1"
"291021_M1_L1_E002","85","Before","WT",7,"291021_M1_L1"
"291021_M1_L1_E002","85","During_1","WT",2,"291021_M1_L1"
"291021_M1_L1_E002","85","During_1","WT",2,"291021_M1_L1"
"291021_M1_L1_E002","85","During_1","WT",4,"291021_M1_L1"
"291021_M1_L1_E002","85","During_1","WT",3,"291021_M1_L1"
